epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.38108,2.07751,5.9995,1.8336,0.02314,0.16,0.00731,0.00183,2.30038,43.0605,2.21104,0.000647059,0.000647059,0.000647059
2,5.48176,1.86542,2.83298,1.85625,0.00191,0.16,0.0003,0.00011,2.28096,inf,2.78034,0.0013019,0.0013019,0.0013019
3,7.50595,1.89908,2.7343,1.87535,0.32559,0.29333,0.22713,0.06576,2.06753,10.0917,2.416,0.00194475,0.00194475,0.00194475
4,9.60207,1.92758,2.139,1.89493,0.51337,0.2,0.18819,0.05936,2.28898,5.78905,2.44936,0.001946,0.001946,0.001946
5,11.7323,1.76927,2.18303,1.75753,0.293,0.16,0.14552,0.05844,2.2036,10.2275,2.39468,0.001928,0.001928,0.001928
6,13.7526,1.75925,1.77865,1.75516,0.68687,0.32177,0.32834,0.10738,2.0018,10.3055,2.18279,0.00191,0.00191,0.00191
7,15.8585,1.78327,1.81077,1.79345,0.71997,0.33333,0.3629,0.10856,2.08286,2.72212,1.99911,0.001892,0.001892,0.001892
8,17.958,1.71032,1.68893,1.71572,0.75927,0.3365,0.34623,0.12057,2.09361,2.52702,2.03892,0.001874,0.001874,0.001874
9,20.0536,1.75536,1.65243,1.73214,0.51379,0.32,0.28965,0.12249,2.15321,2.91384,2.03842,0.001856,0.001856,0.001856
10,22.1585,1.62489,1.59203,1.62311,0.42667,0.42667,0.32264,0.13746,2.14396,2.13675,1.96358,0.001838,0.001838,0.001838
11,24.251,1.6317,1.60671,1.69291,0.48804,0.36,0.32998,0.14109,2.07165,2.14213,1.89043,0.00182,0.00182,0.00182
12,26.3328,1.53967,1.56573,1.56346,0.87006,0.36,0.36753,0.15717,1.98378,2.1377,1.83632,0.001802,0.001802,0.001802
13,28.4543,1.54316,1.53455,1.59027,0.47014,0.37333,0.25361,0.10493,2.11222,2.33924,2.04443,0.001784,0.001784,0.001784
14,30.4993,1.50006,1.43514,1.50889,0.52732,0.41333,0.36185,0.13072,2.05189,2.13181,1.96988,0.001766,0.001766,0.001766
15,32.6054,1.55896,1.45711,1.59635,0.44154,0.38667,0.29682,0.11241,2.09385,2.211,1.92964,0.001748,0.001748,0.001748
16,34.7365,1.58957,1.53071,1.59098,0.52105,0.34667,0.34415,0.13117,2.11006,2.06044,1.98318,0.00173,0.00173,0.00173
17,36.7619,1.49113,1.37838,1.54201,0.54568,0.41333,0.3501,0.14599,2.19681,2.17505,2.06728,0.001712,0.001712,0.001712
18,38.78,1.49698,1.38064,1.54485,0.46568,0.4,0.31133,0.12431,2.17509,2.03777,2.10914,0.001694,0.001694,0.001694
19,40.7898,1.46953,1.35566,1.50306,0.58181,0.38667,0.3274,0.12666,2.24627,2.11309,2.0226,0.001676,0.001676,0.001676
20,42.8166,1.45755,1.34717,1.50849,0.53597,0.40042,0.35971,0.14233,2.10687,2.09751,1.92372,0.001658,0.001658,0.001658
21,44.8341,1.44611,1.3029,1.47824,0.54249,0.34783,0.2843,0.11253,2.22278,2.28371,2.03798,0.00164,0.00164,0.00164
22,46.8729,1.45323,1.27319,1.48911,0.45209,0.38667,0.32292,0.14379,2.07087,2.24129,1.94324,0.001622,0.001622,0.001622
23,48.9082,1.46593,1.26636,1.51921,0.40909,0.36,0.27142,0.12119,2.23246,2.28071,1.9713,0.001604,0.001604,0.001604
24,50.931,1.43523,1.213,1.4594,0.56006,0.33333,0.27586,0.11482,2.29367,2.22961,2.07725,0.001586,0.001586,0.001586
25,52.9579,1.39701,1.22081,1.47805,0.49032,0.36,0.29404,0.12463,2.13357,2.23235,1.88299,0.001568,0.001568,0.001568
26,55.0061,1.32721,1.16009,1.42336,0.48773,0.34667,0.29632,0.11449,2.23605,2.22706,2.03839,0.00155,0.00155,0.00155
27,57.0973,1.46324,1.17167,1.48432,0.54766,0.34667,0.29314,0.13026,2.27216,2.33876,2.09359,0.001532,0.001532,0.001532
28,59.1345,1.34054,1.13911,1.43399,0.61064,0.4,0.37217,0.13863,2.09688,2.28009,1.97441,0.001514,0.001514,0.001514
29,61.1835,1.37442,1.14325,1.41465,0.55745,0.38667,0.34043,0.13008,2.22775,2.19873,2.0461,0.001496,0.001496,0.001496
30,63.2175,1.31687,1.1033,1.40082,0.49206,0.41333,0.32599,0.12922,2.23221,2.21879,1.99162,0.001478,0.001478,0.001478
31,65.2682,1.32065,1.07453,1.38886,0.63043,0.38667,0.33026,0.11606,2.22983,2.19851,2.05141,0.00146,0.00146,0.00146
32,67.2939,1.32459,1.11471,1.41629,0.57383,0.29333,0.22856,0.09253,2.31255,2.24839,2.05145,0.001442,0.001442,0.001442
