epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.3284,1.9504,3.41795,1.35047,0.0005,0.08176,0.0338,0.00758,2.10296,4.29903,1.71536,0.00016,0.00016,0.08416
2,81.3267,1.7074,2.27097,1.26615,0.01063,0.14465,0.09863,0.05333,1.67267,3.91309,1.30987,0.000328712,0.000328712,0.0673287
3,120.989,1.75509,2.0099,1.23839,0.03236,0.18868,0.1253,0.05588,1.89101,3.42605,1.38839,0.000492224,0.000492224,0.0504922
4,158.14,1.7019,1.84747,1.26606,0.61971,0.07677,0.13069,0.05655,1.99001,2.86429,1.47401,0.00064671,0.00064671,0.0336467
5,197.441,1.62796,1.91237,1.2297,0.83541,0.10692,0.10972,0.05251,1.98475,2.39429,1.40893,0.000788568,0.000788568,0.0167886
6,234.921,1.64995,1.76443,1.25161,0.89133,0.12579,0.14349,0.05978,1.98835,2.18973,1.46224,0.000905463,0.000905463,0.000905463
7,275.598,1.72198,1.87818,1.2689,0.89651,0.10692,0.13316,0.05764,1.93715,2.02352,1.41651,0.000865839,0.000865839,0.000865839
8,315.448,1.59893,1.76419,1.23595,0.85824,0.1195,0.135,0.06007,1.99949,2.23678,1.35231,0.000820525,0.000820525,0.000820525
9,351.126,1.55537,1.73416,1.18462,0.85185,0.12578,0.13623,0.05929,1.99991,2.20456,1.37137,0.000770234,0.000770234,0.000770234
10,387.64,1.53319,1.72553,1.20774,0.85829,0.11321,0.12421,0.06254,1.87504,2.21285,1.33233,0.000715761,0.000715761,0.000715761
11,422.378,1.56,1.6784,1.19426,0.92874,0.13208,0.15251,0.06764,1.85297,2.26202,1.29757,0.000657963,0.000657963,0.000657963
12,457.266,1.49944,1.67141,1.18457,0.90055,0.14465,0.16848,0.06839,1.87385,2.01279,1.2943,0.000597754,0.000597754,0.000597754
13,493.861,1.51345,1.68877,1.18087,0.88631,0.13208,0.18203,0.06931,1.87011,1.96206,1.33124,0.000536081,0.000536081,0.000536081
14,525.695,1.50597,1.66628,1.17612,0.85412,0.14549,0.15731,0.06733,1.87481,2.06514,1.35583,0.000473919,0.000473919,0.000473919
15,557.87,1.42074,1.61229,1.1258,0.86368,0.15094,0.15991,0.0724,1.91863,1.98409,1.37187,0.000412246,0.000412246,0.000412246
16,589.661,1.46824,1.61424,1.20563,0.84817,0.12579,0.14869,0.06933,1.94653,2.11087,1.38215,0.000352037,0.000352037,0.000352037
17,621.688,1.3942,1.59708,1.16896,0.89401,0.1195,0.14183,0.0683,1.8991,2.12671,1.3318,0.000294239,0.000294239,0.000294239
18,653.321,1.43466,1.60954,1.14922,0.90989,0.11886,0.1468,0.06796,1.8517,2.02244,1.31535,0.000239766,0.000239766,0.000239766
19,684.763,1.42417,1.57334,1.14486,0.86192,0.11321,0.14744,0.06575,1.86833,1.95411,1.31276,0.000189475,0.000189475,0.000189475
20,716.341,1.43345,1.54111,1.13789,0.84278,0.1195,0.15203,0.0639,1.91528,1.94786,1.33292,0.000144161,0.000144161,0.000144161
21,748.453,1.42949,1.57545,1.14466,0.81494,0.13104,0.1513,0.06152,1.92296,1.92211,1.33422,0.000104537,0.000104537,0.000104537
22,780.383,1.36833,1.51923,1.15409,0.80284,0.15723,0.14349,0.06177,1.93196,1.90822,1.34532,7.12282e-05,7.12282e-05,7.12282e-05
23,812.386,1.37938,1.47151,1.14552,0.80717,0.15723,0.14567,0.06375,1.92061,1.90529,1.34377,4.47606e-05,4.47606e-05,4.47606e-05
24,843.61,1.33707,1.53431,1.12225,0.81014,0.15723,0.15572,0.06458,1.90628,1.90274,1.34078,2.55513e-05,2.55513e-05,2.55513e-05
25,875.191,1.34938,1.48791,1.12767,0.81094,0.15723,0.15447,0.06479,1.90192,1.90136,1.33593,1.39032e-05,1.39032e-05,1.39032e-05
